location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,5,1,4
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,5,1,5
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,5,1,6
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,5,1,7
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,5,1,8
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,5,1,9
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,5,1,10
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,5,1,11
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,5,1,12
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,5,1,13
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,1,14
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,1,15
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,1,18
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,1,19
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,1,20
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,1,21
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,1,22
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,1,23
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,2,0
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,2,1
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,2,2
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,2,3
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,2,4
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,2,5
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,2,6
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,2,7
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,2,8
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,2,9
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,2,10
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,2,11
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,2,12
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,2,13
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,2,14
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,2,15
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,2,16
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,2,17
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,2,18
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,5,2,19
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,2,20
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,2,21
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,2,22
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,2,23
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,3,0
